Date,bitcoin,ethereum,solana,cardano,dogecoin,bitcoin_MA30,ethereum_MA30,solana_MA30,cardano_MA30,dogecoin_MA30,bitcoin_return,ethereum_return,solana_return,cardano_return,dogecoin_return,bitcoin_Vol30_return,ethereum_Vol30_return,solana_Vol30_return,cardano_Vol30_return,dogecoin_Vol30_return
2024-12-20,97851.35377075805,3434.6754695380805,194.9019815694289,0.8856294008673282,0.3162217505606263,,,,,,,,,,,,,,,
2024-12-21,97691.43431692653,3468.658920056454,194.12198450453806,0.95061505400963,0.31740230797949737,,,,,,-0.0016356470217972997,0.00984559724844235,-0.004010026004199327,0.07081062072384822,0.003726369821486829,,,,,
2024-12-22,97202.82496847633,3337.5972231166807,181.0289078386085,0.9046599113089583,0.32043526129975136,,,,,,-0.00501410738243106,-0.03851688706292246,-0.06983001723727196,-0.049550115913746536,0.00951018355006166,,,,,
2024-12-23,95094.27394862173,3275.8894274015142,180.15299381882627,0.8827956119261179,0.3119109632636429,,,,,,-0.02193101761234826,-0.01866174072217385,-0.004850274794670347,-0.02446538072652519,-0.02696249020539875,,,,,
2024-12-24,94644.91085464321,3414.6414419807993,189.84218617656558,0.9228752612988013,0.3234015365143098,,,,,,-0.004736648727540294,0.04148307938104464,0.052386672417145015,0.04440037677664537,0.03617692533067991,,,,,
2024-12-25,98695.71400782601,3497.555287927574,197.50098597289022,0.9368563828179975,0.33732200612833885,,,,,,0.041909412891253564,0.0239917427918026,0.0395504486452711,0.015035916569306943,0.04214328368637372,,,,,
2024-12-26,99344.95417367229,3494.5109273631047,197.3576592740719,0.9167515411841919,0.334477549311157,,,,,,0.006556658263139287,-0.0008708043268212013,-0.0007259646298153847,-0.021693508995196537,-0.008468221785248111,,,,,
2024-12-27,95678.31244565405,3327.7897761683494,188.14456627233477,0.8593419351414681,0.31192211576968526,,,,,,-0.03760652675618751,-0.048885078202665425,-0.04780697510864537,-0.06466958344604727,-0.06981623245566956,,,,,
2024-12-28,94331.94727053077,3328.6111553091764,183.74866385462855,0.8741699171287979,0.3111610704472971,,,,,,-0.014171736942142382,0.0002467937714244412,-0.023641770330981294,0.017107865307594516,-0.0024428381881644386,,,,,
2024-12-29,95184.61945288602,3397.8341205085153,194.8276511169169,0.8875851081613702,0.32383521561724815,,,,,,0.008998452754268724,0.020583058740119477,0.05854646079336155,0.015229643321062797,0.03992410312521086,,,,,
2024-12-30,93663.44751964067,3357.330742971463,189.9284130164687,0.8591433475186276,0.31498371175717305,,,,,,-0.016110356418869543,-0.011991968736403074,-0.025468099754485926,-0.03256862800538769,-0.02771386385941695,,,,,
2024-12-31,92627.28213113277,3359.513941757392,190.70066508822853,0.8591305888515354,0.3134342756044935,,,,,,-0.011124290251796296,0.000650066799303868,0.004057772649596176,-1.4850562325901941e-05,-0.004931237881972328,,,,,
2025-01-01,93507.85874741491,3336.6175137659498,189.45168366761857,0.8442610184323533,0.3161573771733231,,,,,,0.009461761831536675,-0.006838729908126511,-0.006570975655989781,-0.01745922437464696,0.008650427741786634,,,,,
2025-01-02,94384.1761153871,3348.967247123586,193.64679144177083,0.9147583319262166,0.3240901261984082,,,,,,0.009327949667277409,0.0036944404553982705,0.021901812411739184,0.08019820194747845,0.024781525748903622,,,,,
2025-01-03,96852.14681235075,3448.140436960939,207.87862676897498,0.9618480973351441,0.33902102501900305,,,,,,0.025812122766966015,0.02918306808223655,0.07091854726380696,0.050196622942932874,0.045040481772247024,,,,,
2025-01-04,98084.34279280754,3604.2913795931763,217.647289485303,1.0904865469624805,0.37924190970178634,,,,,,0.012642193303310425,0.04429010347264025,0.04592143013777619,0.1255227137686134,0.11211215947703121,,,,,
2025-01-05,98256.73876849933,3660.37804173532,216.68364826265568,1.0719205077612817,0.39471360199829914,,,,,,0.0017560870972533273,0.015441246749123661,-0.004437366625715709,-0.017172063314808906,0.03998615804782112,,,,,
2025-01-06,98364.58946599838,3635.8549961807084,213.44823541657385,1.0939767111827936,0.382652831776486,,,,,,0.001097039769631767,-0.006722136689144681,-0.015044101541175183,0.02036750931473714,-0.031032310023488094,,,,,
2025-01-07,102229.39453189743,3687.1447140588307,218.4209767110049,1.0941475413501178,0.3877984263023277,,,,,,0.03853837800298931,0.01400807281259902,0.02302994026408747,0.00015614302293258983,0.013357551123088321,,,,,
2025-01-08,96952.09886774956,3380.0211263090155,202.492545725036,0.9933347400068778,0.3490042138051966,,,,,,-0.05300222371905215,-0.08697040843161608,-0.07572121183541915,-0.09666313106652798,-0.10540168871679317,,,,,
2025-01-09,95016.71440989176,3325.1300293537356,197.45206766283226,0.9478995284282535,0.3424596033019549,,,,,,-0.02016421314397372,-0.016373179946949097,-0.025207215126830617,-0.04681919297680122,-0.01893029188752729,,,,,
2025-01-10,92376.27578346101,3219.09284475812,185.0111350868991,0.9060582113414768,0.32123156039028333,,,,,,-0.02818262719143621,-0.03240918528181577,-0.06507984658190892,-0.045144959060084,-0.06399146918371051,,,,,
2025-01-11,94736.6267420969,3269.1759954060667,187.8201167474825,0.9316713148155308,0.3341873593343171,,,,,,0.025230501347335663,0.015438369348187543,0.015068666042749253,0.027876531069433497,0.03953955679172542,,,,,
2025-01-12,94559.55167224213,3283.591322828503,188.0632507646954,0.996136878939902,0.3414731256235199,,,,,,-0.0018708789896100513,0.004399774927659624,0.0012936675157014922,0.06690459081947316,0.021567189024303896,,,,,
