Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-06-06 00:00:00+00:00,101574.3671875,105376.7734375,101169.5703125,104390.34375,48856653697,0.0,0.0
2025-06-07 00:00:00+00:00,104390.6484375,105972.7578125,103987.3125,105615.625,38365033776,0.0,0.0
2025-06-08 00:00:00+00:00,105617.5078125,106497.0625,105075.328125,105793.6484375,36626232328,0.0,0.0
2025-06-09 00:00:00+00:00,105793.0234375,110561.421875,105400.234375,110294.1015625,55903193732,0.0,0.0
2025-06-10 00:00:00+00:00,110295.6875,110380.125,108367.7109375,110257.234375,54700101509,0.0,0.0
2025-06-11 00:00:00+00:00,110261.796875,110384.21875,108086.328125,108686.625,50842662052,0.0,0.0
2025-06-12 00:00:00+00:00,108685.9140625,108780.6953125,105785.6875,105929.0546875,54843867968,0.0,0.0
2025-06-13 00:00:00+00:00,105924.59375,106182.546875,102822.0234375,106090.96875,69550440846,0.0,0.0
2025-06-14 00:00:00+00:00,106108.0859375,106203.7578125,104379.3671875,105472.40625,38007870453,0.0,0.0
2025-06-15 00:00:00+00:00,105464.84375,106157.1015625,104519.8828125,105552.0234375,36744307742,0.0,0.0
2025-06-16 00:00:00+00:00,105555.59375,108915.375,104997.625,106796.7578125,50366626945,0.0,0.0
2025-06-17 00:00:00+00:00,106794.1171875,107750.1953125,103396.53125,104601.1171875,55964092176,0.0,0.0
2025-06-18 00:00:00+00:00,104602.0703125,105581.8515625,103602.265625,104883.328125,47318089133,0.0,0.0
2025-06-19 00:00:00+00:00,104886.7734375,105250.890625,103940.7734375,104684.2890625,37333806920,0.0,0.0
2025-06-20 00:00:00+00:00,104681.03125,106539.3828125,102372.2109375,103309.6015625,50951862476,0.0,0.0
2025-06-21 00:00:00+00:00,103315.078125,104015.78125,100973.0625,102257.40625,38360555118,0.0,0.0
2025-06-22 00:00:00+00:00,102212.03125,103351.6328125,98286.203125,100987.140625,65536997201,0.0,0.0
2025-06-23 00:00:00+00:00,100987.4765625,106116.859375,99705.75,105577.7734375,65237759656,0.0,0.0
2025-06-24 00:00:00+00:00,105571.515625,106316.828125,104740.2421875,106045.6328125,48822986421,0.0,0.0
2025-06-25 00:00:00+00:00,106047.40625,108168.3984375,105881.390625,107361.2578125,51624120283,0.0,0.0
2025-06-26 00:00:00+00:00,107375.0703125,108305.546875,106666.3515625,106960.0,43891990613,0.0,0.0
2025-06-27 00:00:00+00:00,106954.921875,107772.46875,106449.9921875,107088.4296875,45353692675,0.0,0.0
2025-06-28 00:00:00+00:00,107090.546875,107567.8828125,106883.9765625,107327.703125,30037708335,0.0,0.0
2025-06-29 00:00:00+00:00,107327.8203125,108526.3046875,107230.109375,108385.5703125,35534874438,0.0,0.0
2025-06-30 00:00:00+00:00,108383.4375,108798.7890625,106759.6484375,107135.3359375,42064804590,0.0,0.0
2025-07-01 00:00:00+00:00,107144.3828125,107550.6796875,105270.2265625,105698.28125,44110692247,0.0,0.0
2025-07-02 00:00:00+00:00,105703.1015625,109763.65625,105157.3984375,108859.3203125,56248657737,0.0,0.0
2025-07-03 00:00:00+00:00,108845.015625,110541.4609375,108605.796875,109647.9765625,50494742270,0.0,0.0
2025-07-04 00:00:00+00:00,109635.65625,109751.984375,107296.3828125,108034.3359375,42616442656,0.0,0.0
2025-07-05 00:00:00+00:00,108015.8359375,108381.34375,107842.2734375,108231.1796875,30615537520,0.0,0.0
2025-07-06 00:00:00+00:00,108231.1875,109731.625,107847.015625,109232.0703125,36746020463,0.0,0.0
2025-07-07 00:00:00+00:00,109235.328125,109710.25,107527.0546875,108299.8515625,45415696597,0.0,0.0
2025-07-08 00:00:00+00:00,108298.2265625,109198.96875,107499.5546875,108950.2734375,44282204127,0.0,0.0
2025-07-09 00:00:00+00:00,108950.2734375,111925.375,108357.6796875,111326.5546875,57927418065,0.0,0.0
2025-07-10 00:00:00+00:00,111329.1953125,116608.78125,110660.75,115987.203125,95911605728,0.0,0.0
2025-07-11 00:00:00+00:00,115986.234375,118856.4765625,115245.6875,117516.9921875,86928361085,0.0,0.0
2025-07-12 00:00:00+00:00,117530.7109375,118219.8984375,116977.0234375,117435.2265625,45524560304,0.0,0.0
